molecule,FEBc
1,-8.6
2,-8.9
3,-6.5
4,-9.2
5,-10.9
6,-10.5
7,-7
8,-10.6
9,-8.9
10,-8.7
11,-9.7
12,-7.3
13,-9.8
14,-8.6
15,-9.3
16,-8.5
17,-9.8
18,-10.3
19,-8.7
20,-8.4
21,-4.8
22,-10.8
23,-9.3
24,-9.1
25,-11.7
26,-10.5
27,-8.8
28,-9.5
29,-7.9
30,-11.5
31,-9
32,-11.4
33,-12.2
34,-9.1
35,-9.9
36,-12.3
37,-8.6
38,-6.8
39,-10.6
40,-8.5
41,-4
42,-9.6
43,-6.2
44,-8.1
45,-10.2
46,-11.6
47,-8.2
48,-13.5
49,-8.9
50,-10.1
51,-8.4
52,-12.2
53,-8.7
54,-9.3
55,-9.7
56,-9.3
57,-9.3
58,-10.2
59,-10
60,-8.2
61,-10.4
62,-10.2
63,-11.9
64,-11.6
65,-12.2
66,-8.5
67,-5.3
68,-11
69,-11.3
70,-7.7
71,-8.4
72,-9.2
73,-10.7
74,-8.2
75,-7.9
76,-11.8
77,-11.7
78,-9.7
79,-9.5
80,-10.2
81,-9.3
82,-9.9
83,-12.3
84,-9.8
85,-9.7
86,-7.8
87,-9.7
88,-10.3
89,-7.5
90,-7.2
91,-8.6
92,-11.1
93,-9.7
94,-11.3
95,-10.6
96,-10.2
97,-11.2
98,-9.8
99,-9.8
100,-7.2
101,-9
102,-10.4
103,-9.7
104,-10.6
105,-12.3
106,-10
107,-9.7
108,-10.1
109,-7.4
110,-7.2
111,-9
112,-7.4
113,-10.5
114,-7.6
115,-11.3
116,-11.8
117,-6
118,-10.3
119,-10.3
120,-8
121,-7.4
122,-10.4
123,-8.1
124,-10.3
125,-11.3
126,-9.2
127,-10.3
128,-8.8
129,-10.3
130,-9.4
131,-6.9
132,-9.2
133,-10.1
134,-9.8
135,-8.2
136,-11.1
137,-7.9
138,-9.5
139,-9.9
140,-10.8
141,-8.8
142,-8.9
143,-8.3
144,-10
145,-9.3
146,-8.8
147,-9.5
148,-10.5
149,-7.6
150,-9.3
151,-9.5
152,-8.8
153,-6.8
154,-9.3
155,-10
156,-11
157,-9.7
158,-8.8
159,-8.5
160,-11.1
161,-7.8
162,-10.7
163,-11.2
164,-8.4
165,-8.3
166,-10.8
167,-9.5
168,-5.8
169,-6.9
170,-8.4
171,-11.3
172,-10.8
173,-8.2
174,-8.6
175,-8.2
176,-9.8
177,-10.3
178,-7.8
179,-9.9
180,-10.9
181,-10.7
182,-8.4
183,-7.6
184,-12.4
185,-9.8
186,-7.5
187,-8.4
188,-9.8
189,-11.3
190,-11.6
191,-11.9
192,-5
193,-7.2
194,-8.2
195,-6.7
196,-7.7
197,-10.3
198,-9.6
199,-4.1
200,-8.1
201,-7.9
202,-7.6
203,-9.3
204,-8
205,-8.4
206,-9.5
207,-9.4
208,-8.9
209,-10.5
210,-11.1
211,-9.2
212,-9.3
213,-9
214,-8
215,-6.9
216,-11.7
217,-6.8
218,-11.5
219,-10.7
220,-9.5
221,-12.7
222,-11.3
223,-10.1
224,-10.1
225,-8.8
226,-9.5
227,-8.4
228,-11
229,-8.1
230,-7.9
231,-8.7
232,-5.7
233,-7
234,-9
235,-9.2
236,-9
237,-7.6
238,-10
239,-10.1
240,-6.7
241,-7.7
242,-11.3
243,-10.5
244,-10.1
245,-9.6
246,-8.9
247,-10.9
248,-4.3
249,-8
250,-8.7
251,-11.5
252,-10.5
253,-9.3
254,-11.1
255,-10.7
256,-10.3
257,-10.3
258,-7
259,-10.1
260,-9.1
261,-11.5
262,-11.2
263,-9.8
264,-11.1
265,-6.6
266,-10.1
267,-9.1
268,-11.4
269,-8.9
270,-9.7
271,-9.9
272,-6.7
273,-9.9
274,-9.9
275,-9.8
276,-10.1
277,-10.5
278,-10
279,-8.6
280,-9.9
281,-8.3
282,-6.2
283,-9.6
284,-8.3
285,-9
286,-9.9
287,-10.3
288,-9.8
289,-9.9
290,-9.4
291,-9.3
292,-9.9
293,-10.4
294,-6.6
295,-9.4
296,-10.2
297,-7.4
298,-9.8
299,-9.8
300,-10.1
301,-7.8
302,-9.1
303,-8.1
304,-9.5
305,-9.6
306,-6.8
307,-8.4
308,-10
309,-7.2
310,-6.7
311,-10.3
312,-9
313,-7.7
314,-9.4
315,-7.8
316,-8.6
317,-7.5
318,-10.7
319,-7.8
320,-10.6
321,-10.3
322,-9
323,-10.9
324,-8.3
325,-10.1
326,-7.6
327,-8.7
328,-9
329,-9.7
330,-10.4
331,-10.2
332,-10.8
333,-8.6
334,-11.1
335,-9
336,-10.1
337,-9.8
338,-7.9
339,-9.3
340,-8.2
341,-9.7
342,-11.7
343,-11.2
344,-10.8
345,-10
346,-10.9
347,-10.1
348,-9.5
349,-11.3
350,-9.8
351,-8.2
352,-10.2
353,-10.8
354,-11.1
355,-4
356,-10.5
357,-7.1
358,-3.5
359,-6.3
360,-10.1
361,-10.6
362,-8.6
363,-6.6
364,-10.6
365,-6.9
366,-6.4
367,-9.1
368,-8.8
369,-10.1
370,-11
371,-4.8
372,-9.8
373,-11.8
374,-11.7
375,-9.7
376,-11.1
377,-8.2
378,-7.6
379,-9.2
380,-9.7
381,-9.4
382,-7.3
383,-8.3
384,-9
385,-8.2
386,-8.3
387,-10
388,-10.1
389,-9.6
390,-9.6
391,-10.2
392,-10.1
393,-7.9
394,-9.3
395,-11.6
396,-10.9
397,-11.5
398,-5.7
399,-10.7
400,-9.7
401,-9.1
402,-11.6
403,-10
404,-6.8
405,-5.6
406,-10.3
407,-10.9
408,-11.8
409,-9.7
410,-8.4
411,-11.1
412,-8.4
413,-9.7
414,-12.2
415,-9.1
416,-10
417,-8.6
418,-8.7
419,-10
420,-9.4
421,-10.9
422,-7.2
423,-6.9
424,-10.3
425,-10.7
426,-6.8
427,-8.3
428,-10.7
429,-10.3
430,-7.5
431,-7.4
432,-10
433,-9.2
434,-9.5
435,-8.6
436,-9.7
437,-4.7
438,-6.7
439,-9.1
440,-9.4
441,-8.6
442,-7.4
443,-8.2
444,-10.1
445,-10.7
446,-11.5
447,-8.1
448,-8.1
449,-11.6
450,-9.1
451,-10.9
452,-8.3
453,-12.7
454,-9.6
455,-9.9
456,-7.5
457,-11.4
458,-7.9
459,-10.4
460,-10.3
461,-8.1
462,-9
463,-10.2
464,-11.2
465,-9.6
466,-9.9
467,-11.8
468,-11.4
469,-9.9
470,-10.6
471,-6.8
472,-10.1
473,-11.4
474,-12.9
475,-7.9
476,-10.7
477,-11.1
478,-10.4
479,-12.3
480,-11.1
481,-9
482,-8.4
483,-9.2
484,-10.7
485,-12.2
486,-10.9
487,-10.3
488,-11.5
489,-9.7
490,-12.1
491,-9.8
492,-10
493,-12.4
494,-10.3
495,-7.9
496,-8.3
497,-7.8
498,-9.3
499,-10.3
500,-10.6
501,-8.5
502,-8.7
503,-8.8
504,-5.3
505,-11.3
506,-7.5
507,-6.5
508,-8.2
509,-8
510,-11.2
511,-9.4
512,-7.4
513,-7.4
514,-10.4
515,-8.7
516,-11.1
517,-11
518,-7.7
519,-11.2
520,-7.9
521,-12.4
522,-9.7
523,-10.5
524,-4
525,-7.2
526,-10.7
527,-9.4
528,-8.7
529,-10.9
530,-5.9
531,-8.9
532,-10.6
533,-8.6
534,-10.1
535,-11.2
536,-7.5
537,-8.3
538,-11.7
539,-10
540,-7.4
541,-11.3
542,-9.7
543,-8.6
544,-9.9
545,-10.6
546,-5.1
547,-8.1
548,-9.7
549,-8.4
550,-8.8
551,-9.8
552,-9.2
553,-10.1
554,-10.1
555,-10.4
556,-11.4
557,-10.1
558,-10.1
559,-10.7
560,-7.9
561,-11.2
562,-4.7
563,-10
564,-10.8
565,-11.4
566,-9.6
567,-8.1
568,-8.6
569,-9.6
570,-6.1
571,-10.2
572,-8.4
573,-10.8
574,-11
575,-8
576,-10.7
577,-8.3
578,-9.4
579,-9.4
580,-5.7
581,-7.1
582,-7.4
583,-11.6
584,-10.7
585,-9.4
586,-12.8
587,-9
588,-5.6
589,-9.9
590,-10.9
591,-12.1
592,-8.7
593,-9.6
594,-8.6
595,-8.7
596,-10.4
597,-7.4
598,-10.1
599,-10.4
600,-8.4
601,-8.6
602,-7.5
603,-8.2
604,-9.6
605,-9.9
606,-11.7
607,-7.8
608,-7.7
609,-10.8
610,-9.5
611,-7.9
612,-11.4
613,-9.9
614,-9.2
615,-8.6
616,-10.4
617,-9.4
618,-5.4
619,-7
620,-9.6
621,-10.2
622,-11.9
623,-6.8
624,-9.9
625,-10
626,-8.7
627,-9.4
628,-5.4
629,-9.7
630,-8.9
631,-10
632,-10
633,-9.2
634,-8.4
635,-9.2
636,-9
637,-9.9
638,-10.5
639,-10.3
640,-4.2
641,-5
642,-9.9
643,-11.4
644,-7.4
645,-11.1
646,-9.4
647,-9.6
648,-8.4
649,-8.1
650,-10.2
651,-5.4
652,-10
653,-10.7
654,-10
655,-9
656,-7.9
657,-10.1
658,-10
659,-7
660,-11.5
661,-9
662,-10
663,-10.2
664,-8.4
665,-10
666,-10
667,-4.8
668,-10.1
669,-10
670,-7.8
671,-9.9
672,-7.7
673,-6.6
674,-11.4
675,-9.6
676,-11.3
677,-11.5
678,-9.8
679,-9.2
680,-9.4
681,-9.9
682,-7.9
683,-8.2
684,-8.7
685,-9.8
686,-8.4
687,-7
688,-7.4
689,-10.2
690,-11.3
691,-10.3
692,-7.4
693,-11.7
694,-11.3
695,-11.9
696,-9.6
697,-8.4
698,-8
699,-8.4
700,-10.2
701,-9.5
702,-8.9
703,-9.6
704,-9.1
705,-10.7
706,-7.2
707,-9.4
708,-7.4
709,-8.8
710,-10.3
711,-9.7
712,-5.9
713,-6.6
714,-10.3
715,-9.7
716,-10.2
717,-10.2
718,-6.7
719,-10
720,-9.8
